,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,kmeans-2clusters
0,0.238,0.109,81.264,0.0326,0.0421,2.73e-05,3,0.289,0,282493,-12.244,0.187,1,audio_features,spotify:track:4MpIwDaZdFLafMDcAx4k4q,1
2,0.734,0.22,120.55,0.0374,0.00079,0.00554,4,0.461,1,357933,-9.379,0.423,1,audio_features,spotify:track:6F6DxQ3XjToEHX1e2KKSbg,1
3,0.551,0.127,118.657,0.0331,0.00606,0.000256,4,0.491,8,259867,-9.652,0.349,0,audio_features,spotify:track:2L6LeWFHYhcxisYJ9X0Adn,1
4,0.666,0.204,130.915,0.129,0.0528,0.00171,4,0.769,0,253533,-8.218,0.558,1,audio_features,spotify:track:0eZO12gIzIJ1HnV59OvYGT,1
5,0.656,0.139,153.747,0.0319,0.0431,0.000161,4,0.353,7,245627,-5.712,0.195,0,audio_features,spotify:track:1EJZQ6uhrvl4JtoKn7RKFd,1
7,0.544,0.11,127.284,0.0364,0.293,1.11e-05,3,0.321,2,398267,-7.179,0.283,1,audio_features,spotify:track:7ycz6sgZWp4wvF53BZVTjE,1
8,0.412,0.0644,132.986,0.0316,0.188,0.0339,4,0.32,4,396467,-12.75,0.282,0,audio_features,spotify:track:7FtRUrOEDUHTvenvp1BqZo,1
9,0.959,0.161,154.221,0.0908,0.0263,0.000148,4,0.314,4,309640,-4.657,0.492,0,audio_features,spotify:track:1HM7Vp84E4SMzdrZONg6bH,1
14,0.721,0.391,97.578,0.0254,0.00348,0.0113,4,0.521,2,328427,-7.699,0.611,1,audio_features,spotify:track:2JhJOPGvtqMpj5RQC8cIYf,1
16,0.755,0.5,88.165,0.286,0.413,0.0,4,0.685,9,210307,-4.216,0.477,0,audio_features,spotify:track:3sHjkMe0OK4zI2nD85Oilh,1
20,0.759,0.231,179.904,0.0431,0.0555,0.0,4,0.263,0,284496,-7.288,0.429,1,audio_features,spotify:track:3pHpV3pa96s4vuBP7sQq0V,1
25,0.591,0.0891,98.51,0.0248,0.0248,0.00275,4,0.45,2,231987,-5.551,0.283,0,audio_features,spotify:track:5CdbSPuZdIKFm5e0TUDJD8,1
26,0.852,0.0624,117.418,0.0511,0.0119,0.076,4,0.279,7,558933,-7.838,0.438,1,audio_features,spotify:track:4qsAYBCJnu2OkTKUVbbOF1,1
27,0.909,0.125,173.674,0.0574,0.135,0.0336,4,0.307,9,366136,-7.08,0.443,0,audio_features,spotify:track:3uMmllZo1AfoEnVT4ENCD3,1
28,0.656,0.0892,139.352,0.0302,0.0105,0.0,4,0.282,8,251867,-6.557,0.242,1,audio_features,spotify:track:0S3gpZzlT9Hb7CCSV2owX7,1
30,0.604,0.105,92.079,0.0278,0.14,0.00129,4,0.642,9,348000,-9.663,0.609,0,audio_features,spotify:track:5VixAoU5wQmTwRkjah256u,1
33,0.723,0.757,121.919,0.0432,0.197,0.0,4,0.618,7,176080,-10.004,0.887,1,audio_features,spotify:track:25MNMuaD4EfXeEPqzJ236F,1
35,0.753,0.115,172.994,0.0476,0.019,0.000664,4,0.43,4,264960,-7.309,0.455,0,audio_features,spotify:track:6JlnMdYn2xUmhMNb4LuZM8,1
36,0.681,0.381,120.009,0.0309,0.17,0.144,4,0.756,6,233615,-5.649,0.577,0,audio_features,spotify:track:01VEpM38d3fcWZddfuYWOv,1
37,0.763,0.238,137.967,0.028,0.000795,1.86e-05,4,0.534,4,192160,-6.064,0.576,0,audio_features,spotify:track:0z3GnQC4I6HDNHM16Cgvj8,1
38,0.689,0.336,120.017,0.037,0.192,0.0,4,0.74,9,362320,-6.043,0.58,0,audio_features,spotify:track:32sSR7MgxuLxQP4q4F4tGH,1
39,0.733,0.0907,133.87,0.136,0.0597,3.01e-06,4,0.765,6,232373,-7.145,0.16,1,audio_features,spotify:track:6dRtvWOFjzw9nYijOWIEoy,1
40,0.913,0.347,119.992,0.0466,0.0263,1.35e-05,4,0.551,0,224493,-4.063,0.544,0,audio_features,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,1
45,0.692,0.193,112.053,0.0276,0.363,0.000158,4,0.622,7,195467,-6.97,0.774,1,audio_features,spotify:track:0QnONzv3TvHAWk294h6DaQ,1
48,0.547,0.0921,92.997,0.122,0.0594,0.00227,4,0.786,1,232477,-10.114,0.807,0,audio_features,spotify:track:2KTFuRiTBQoHuUi0Jev6fl,1
49,0.882,0.281,107.932,0.0719,0.0674,2.3e-06,4,0.766,5,172467,-4.478,0.544,1,audio_features,spotify:track:0sNKiz82ATCvT3f3XVVUUj,1
50,0.744,0.242,123.017,0.143,0.197,0.0,4,0.794,4,289213,-5.194,0.716,0,audio_features,spotify:track:2f4vdaOFLc870TX7NK6o7e,1
51,0.605,0.103,103.929,0.0294,0.0047,0.00144,4,0.282,6,403453,-4.916,0.0783,0,audio_features,spotify:track:0RdUX4WE0fO30VnlUbDVL6,1
54,0.875,0.402,75.009,0.0422,0.00752,0.000461,4,0.284,11,340907,-6.069,0.595,0,audio_features,spotify:track:1L94M3KIu7QluZe63g64rv,1
55,0.59,0.0869,109.969,0.0484,0.0837,0.00821,4,0.324,4,337560,-6.94,0.22,0,audio_features,spotify:track:5GjH3tVjg5xR50B9bZ75UR,1
56,0.788,0.0848,121.98,0.0381,0.15,0.000383,4,0.55,11,287627,-5.825,0.411,0,audio_features,spotify:track:1McqRBaVgEgeF0AW97Gr5A,1
58,0.889,0.458,134.469,0.0964,0.000626,0.403,4,0.4,11,592417,-6.91,0.343,0,audio_features,spotify:track:3yALY3kIx7Z7szbRO2lRgT,1
59,0.866,0.232,109.825,0.059,0.000739,0.00141,4,0.308,2,438120,-5.671,0.227,0,audio_features,spotify:track:6p8eFfPw3nQkf37aT3AkmK,1
61,0.711,0.0582,106.43,0.217,0.234,0.0,5,0.543,3,270460,-4.511,0.638,0,audio_features,spotify:track:0fwQlhRlZfXd71hi3zhZ3w,1
63,0.557,0.127,159.018,0.0355,0.123,4.6e-06,4,0.193,7,366667,-7.725,0.176,1,audio_features,spotify:track:1J2uuMm8SyGEI8uPRTBc5v,1
64,0.721,0.119,130.699,0.0443,0.154,0.000203,4,0.389,9,308240,-7.256,0.749,0,audio_features,spotify:track:13jO52N4hQGFXe4XYKnDRZ,1
65,0.599,0.201,112.657,0.0332,0.308,0.000333,3,0.393,9,486773,-7.337,0.344,1,audio_features,spotify:track:3BF9J3DjZuNKcfiAwkTsWK,1
66,0.915,0.129,91.023,0.255,0.044,0.0,4,0.675,10,288123,-4.121,0.758,0,audio_features,spotify:track:6OJpNvSIXdLw62a6vp7rie,1
67,0.62,0.067,136.062,0.256,0.0709,0.0,4,0.778,11,287907,-6.937,0.361,0,audio_features,spotify:track:2yVGgYMwdNIcEdEiUzFUYc,1
68,0.828,0.133,142.589,0.0479,0.208,7.4e-05,1,0.264,2,305760,-6.195,0.21,0,audio_features,spotify:track:2GTX1cCoHvnnswgVtOUplb,1
69,0.67,0.0924,136.548,0.0307,0.0156,0.000414,4,0.374,7,235960,-7.694,0.362,1,audio_features,spotify:track:07W9HcJyjXPnKQSMbUcWZU,1
70,0.622,0.275,126.558,0.039,0.0566,0.0212,4,0.342,6,448333,-6.645,0.547,0,audio_features,spotify:track:34RISamoO5iubsOanSlpQo,1
71,0.794,0.33,148.174,0.0307,0.0614,0.0367,4,0.733,5,348624,-10.023,0.931,1,audio_features,spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,1
72,0.609,0.111,175.924,0.507,0.101,0.0,4,0.679,9,186136,-7.751,0.524,1,audio_features,spotify:track:4mXpIRbYgIz03EZ1hGOBbx,1
73,0.821,0.377,102.965,0.19,0.0964,0.0,4,0.656,1,286276,-7.071,0.807,1,audio_features,spotify:track:0kgrbr4t69ThRLKG98lU3v,1
74,0.712,0.0463,169.944,0.263,0.0543,0.0,4,0.699,1,515294,-6.17,0.555,1,audio_features,spotify:track:0A6rU3K1SXKu28gdQ02mmd,1
75,0.752,0.176,176.094,0.389,0.359,0.0,4,0.682,10,223636,-5.823,0.526,0,audio_features,spotify:track:4Xxkvj5cn8MMGYgrjYRnLr,1
76,0.684,0.34,77.15,0.0308,0.323,0.0,4,0.36,4,342653,-6.457,0.2,0,audio_features,spotify:track:5Xak5fmy089t0FYmh3VJiY,1
78,0.722,0.11,104.665,0.0233,0.101,3.37e-06,4,0.686,9,281747,-7.094,0.904,0,audio_features,spotify:track:6QLspHLCLftSGPa6vNzKuo,1
79,0.784,0.16,111.871,0.0269,0.026,0.00124,4,0.607,9,326013,-6.035,0.643,1,audio_features,spotify:track:4HomPKDsqVz9xAtW2zyMO2,1
80,0.723,0.146,98.745,0.0286,0.0016,0.176,4,0.478,11,259369,-6.512,0.265,0,audio_features,spotify:track:19cj5jW9ceHedTq3IF9D8O,1
81,0.59,0.104,124.635,0.0327,0.00182,0.00379,4,0.456,11,283733,-8.638,0.243,1,audio_features,spotify:track:2N2yrmodOnVF10mKvItC9P,1
82,0.726,0.471,120.814,0.0371,0.379,2.58e-06,4,0.733,7,197160,-6.514,0.915,1,audio_features,spotify:track:6xq5DxZWGgdStAxGAil0yw,1
85,0.739,0.0883,110.027,0.316,0.107,0.0,4,0.657,5,272524,-8.509,0.406,0,audio_features,spotify:track:3KeWngnWN1REq9d26ZanKj,1
87,0.596,0.0775,93.633,0.219,0.04,3.86e-05,4,0.666,7,177505,-7.334,0.508,1,audio_features,spotify:track:2beQhTsnVS7jsTwUxU29xo,1
96,0.586,0.0535,114.243,0.0284,0.0983,0.581,4,0.632,0,342173,-11.333,0.89,1,audio_features,spotify:track:5SAUIWdZ04OxYfJFDchC7S,1
98,0.949,0.218,100.346,0.0896,0.0214,0.00778,4,0.274,11,406307,-8.642,0.497,1,audio_features,spotify:track:5Q41NLTmGbVPozwHKK7bk2,1
99,0.612,0.103,155.961,0.0275,0.0188,1e-06,4,0.443,1,207120,-7.321,0.204,1,audio_features,spotify:track:5fXQmRFO1CDN04HtUVNCUh,1
100,0.529,0.257,81.527,0.0275,0.17,4.27e-06,4,0.48,6,295480,-7.825,0.469,1,audio_features,spotify:track:5DeXQ3qADuDmqsosnZAK3o,1
101,0.748,0.447,118.852,0.0363,0.127,0.0,4,0.5,4,250987,-9.072,0.514,1,audio_features,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,1
102,0.396,0.248,126.091,0.0371,0.107,0.0,4,0.591,9,207693,-14.753,0.781,1,audio_features,spotify:track:4a8ZMNLB75047bY2I7oABt,1
103,0.491,0.114,79.954,0.0246,0.00693,0.00491,4,0.442,7,232120,-6.598,0.125,1,audio_features,spotify:track:5g1rzUEyVFNr2i4ifEjlVN,1
104,0.697,0.133,116.109,0.0277,0.0664,2.28e-05,4,0.741,0,160133,-7.028,0.774,1,audio_features,spotify:track:2LawezPeJhN4AWuSB0GtAU,1
105,0.636,0.0921,79.419,0.0256,0.0629,2.49e-06,4,0.493,1,284907,-7.408,0.279,1,audio_features,spotify:track:78PKCefXwDLbl4FVO1Pjzh,1
106,0.452,0.689,113.066,0.0307,0.0353,0.00228,4,0.367,10,520787,-10.422,0.189,1,audio_features,spotify:track:54X78diSLoUDI3joC2bjMz,1
107,0.943,0.162,173.671,0.0669,0.0286,0.00401,4,0.249,0,233507,-5.188,0.458,1,audio_features,spotify:track:4Zc7TCHzuNwL0AFBlyLdyr,1
108,0.552,0.0929,145.164,0.0258,0.028,1.36e-05,4,0.402,10,431333,-10.158,0.668,1,audio_features,spotify:track:3m7V717IKZqZLW5qUIOxdD,1
109,0.576,0.276,179.014,0.0289,0.00766,0.0462,4,0.348,0,288787,-8.388,0.428,1,audio_features,spotify:track:4nZi6XNe36Ut4Nij3IQ1yC,1
110,0.916,0.161,144.262,0.0482,0.0856,9.27e-05,4,0.592,9,249493,-6.9,0.886,1,audio_features,spotify:track:6o6ZPVUPJ0GTs2gQIt2jWc,1
112,0.758,0.092,112.114,0.0297,0.000671,0.484,4,0.49,7,371413,-6.491,0.435,1,audio_features,spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,1
115,0.813,0.122,104.996,0.122,0.197,0.00233,4,0.774,5,242560,-5.569,0.351,0,audio_features,spotify:track:2CdCs9y04oDuYCF4ewNzI7,1
117,0.886,0.212,89.419,0.314,0.0279,0.0,4,0.581,10,201513,-4.017,0.667,0,audio_features,spotify:track:0t91UKs3Q7DU095HoyrxqU,1
118,0.795,0.74,103.777,0.209,0.398,0.0,4,0.362,5,208408,-5.904,0.269,0,audio_features,spotify:track:5pxIcrqw518z9noxlSsCia,1
119,0.666,0.082,130.119,0.291,0.325,0.0,4,0.781,1,276173,-6.56,0.526,1,audio_features,spotify:track:5BUhxai60oAz69BWZv1qW5,1
120,0.934,0.111,108.678,0.43,0.371,0.0,4,0.467,4,284729,-5.335,0.239,0,audio_features,spotify:track:2QMXWjWartSxCixoB4dmRk,1
121,0.564,0.138,140.006,0.308,0.0807,0.0,4,0.761,8,220144,-8.14,0.508,1,audio_features,spotify:track:7hcD9lM5hZl3hY4ASgReNv,1
124,0.656,0.112,141.873,0.0411,0.0458,2.54e-06,4,0.537,11,232173,-5.863,0.45,0,audio_features,spotify:track:2bDENJyfbxj0neGiXUFvIX,1
131,0.657,0.315,119.955,0.0749,0.246,0.0,4,0.664,7,210179,-5.6,0.41,0,audio_features,spotify:track:0893kLth0twvuDR3Rrn0FR,1
132,0.59,0.1,109.997,0.0577,0.291,0.0,4,0.759,6,306909,-8.055,0.445,0,audio_features,spotify:track:1ctPmaSX96S7V9t2ueBMTS,1
134,0.608,0.0533,112.367,0.0345,0.352,0.0,4,0.552,1,162373,-9.786,0.637,0,audio_features,spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,1
138,0.767,0.136,100.004,0.0373,0.0626,0.0,4,0.647,6,203547,-6.334,0.729,0,audio_features,spotify:track:5nklmUDKX1m6fTZlxD1X5w,1
139,0.454,0.236,109.98,0.0288,0.231,6.82e-06,4,0.768,11,190240,-11.953,0.913,0,audio_features,spotify:track:4iw1izjwJgdHPZdumrHvyN,1
141,0.933,0.186,140.011,0.396,0.152,0.0,4,0.816,8,290375,-5.967,0.737,0,audio_features,spotify:track:1KL3IaltqoBITBw91GGtuE,1
142,0.718,0.064,129.037,0.042,0.0684,0.0,4,0.706,0,192240,-6.207,0.786,1,audio_features,spotify:track:2AmealVVZqRStMZVNyAByN,1
143,0.689,0.0865,98.097,0.0266,0.352,8.51e-05,4,0.552,5,251053,-6.475,0.652,1,audio_features,spotify:track:5ytkHKps6RVVDFZwAqVDCB,1
144,0.794,0.349,146.074,0.0329,0.00841,0.00479,4,0.512,9,266973,-5.627,0.487,0,audio_features,spotify:track:24jVhAsRXxmoN91ThJVSeI,1
146,0.759,0.109,130.116,0.173,0.205,0.0,4,0.606,6,214307,-6.186,0.0899,0,audio_features,spotify:track:0T0GUG3sWYYgjDUJQwo1aX,1
147,0.537,0.172,121.932,0.152,0.117,6.23e-06,4,0.755,11,145893,-8.461,0.327,0,audio_features,spotify:track:2Pc8BUFJSIfsaifRBLgCVg,1
149,0.893,0.158,130.515,0.0349,0.0822,0.102,4,0.607,4,296587,-9.468,0.447,1,audio_features,spotify:track:2nyBbMPk3yWE0cLJmJcbzH,1
150,0.623,0.151,178.947,0.048,0.354,0.0508,4,0.631,9,237333,-8.658,0.557,0,audio_features,spotify:track:1FLEVJaXv8vZwunzQZSHLK,1
151,0.59,0.339,99.755,0.0257,0.172,0.00321,4,0.609,11,279347,-6.306,0.693,0,audio_features,spotify:track:70X7swUO33mrChUj4JSnbW,1
152,0.739,0.106,132.41,0.0415,0.0211,0.00444,4,0.496,6,336000,-7.193,0.378,1,audio_features,spotify:track:4JiEyzf0Md7KEFFGWDDdCr,1
153,0.554,0.157,130.037,0.0301,0.0508,0.0,4,0.658,4,374093,-6.956,0.309,0,audio_features,spotify:track:1kNPvVDqN2KZZrOhyqEiux,1
154,0.832,0.0572,115.977,0.0309,0.00576,0.00696,4,0.755,4,238080,-7.47,0.871,0,audio_features,spotify:track:4mT09JxALjAoUpMplfd8nQ,1
155,0.943,0.328,134.241,0.0363,0.00297,0.00563,4,0.621,4,252360,-3.431,0.903,1,audio_features,spotify:track:5lFmuFUZM6vF36fzjnJZSu,1
156,0.89,0.832,132.324,0.0615,0.2,0.0283,4,0.497,5,320373,-6.162,0.57,1,audio_features,spotify:track:2HfsOApfOXphR5FJnv88IX,1
157,0.89,0.136,120.036,0.253,0.44,0.0,4,0.867,8,278742,-3.197,0.527,0,audio_features,spotify:track:5TuXRIWZicQ2baTHfXID0U,1
158,0.746,0.101,136.04,0.137,0.164,0.0,4,0.799,9,248533,-3.968,0.381,0,audio_features,spotify:track:4ksGFoh48GVG9STEHJ3b6v,1
