,name,album,artist,release_date,duration,popularity,id,kmeans-2clusters
1,Restart,Restart,Shellerini,2019-10-02,275294,35,2unYQbgst3vkYdAxH1rbEp,1
4,Z Tobą,Wojtek Sokół,Sokół,2019-02-15,253533,0,0eZO12gIzIJ1HnV59OvYGT,1
10,Dym,Dym,Paluch,2017-06-26,229090,38,7EVqVTLvN1u5SQZlRGCkow,1
12,Toskania Outro,Europa,Taco Hemingway,2020-09-04,307840,47,2TYx5h3sQMNbDvX2ymvlDX,1
14,Perfect Strangers,Perfect Strangers,Deep Purple,1984-09-16,328426,66,2JhJOPGvtqMpj5RQC8cIYf,1
15,Skrable,Art Brut 2,PRO8L3M,2020-03-07,243546,57,6KMvWbvvvD205ZhvXmjxVr,1
16,Mówiłaś Mi…,Ja Tu Tylko Sprzątam,O.S.T.R.,2008-02-22,210306,45,3sHjkMe0OK4zI2nD85Oilh,1
30,Too Many Tears - 2003 Remastered Version,Best of Whitesnake,Whitesnake,2003-03-24,348000,36,5VixAoU5wQmTwRkjah256u,1
31,BUBBLETEA,ROMANTIC PSYCHO,Quebonafide,2020-04-02,284000,58,7eBYMVok43QesT0KnuIkjn,1
33,Ain't Got No - I Got Life - Single Version,'Nuff Said (Expanded Edition),Nina Simone,1968,176080,46,25MNMuaD4EfXeEPqzJ236F,1
34,Just the Two of Us (feat. Bill Withers),Anthology,"Grover Washington, Jr.",1985,438493,77,1ko2lVN0vKGUl9zrU0qSlT,1
36,Nie gotujemy,Sea You Later,The Dumplings,2015-11-13,233614,43,01VEpM38d3fcWZddfuYWOv,1
37,Mieć czy być,Happiness Is Easy,Myslovitz,2006-05-12,192160,51,0z3GnQC4I6HDNHM16Cgvj8,1
38,Piła tango,Piła tango,Strachy Na Lachy,2005,362320,48,32sSR7MgxuLxQP4q4F4tGH,1
40,It's My Life,Crush,Bon Jovi,2000-01-01,224493,80,0v1XpBHnsbkCn7iJ9Ucr1l,1
45,Last Kiss,Last Kiss,Pearl Jam,1999,195466,70,0QnONzv3TvHAWk294h6DaQ,1
47,Black Velvet,Alannah Myles,Alannah Myles,1989-03-14,287440,72,1KU5EHSz04JhGg3rReGJ0N,1
48,Deszcz Na Betonie (?),Marmur,Taco Hemingway,2016-11-02,232477,0,2KTFuRiTBQoHuUi0Jev6fl,1
49,Why Don't You Get A Job,Americana,The Offspring,1998-11-16,172466,73,0sNKiz82ATCvT3f3XVVUUj,1
50,BIEŁYJE NOSY,BIEŁYJE NOSY,TEDE,2019-05-20,289213,42,2f4vdaOFLc870TX7NK6o7e,1
52,Sacrum,Dekada,Mezo,2016-01-01,255746,0,7qWwr8sJ6faH3EKrbnpn2X,1
57,When I'm Sixty Four,Yellow Submarine Songtrack,The Beatles,2014-01-01,159093,43,1zdBFL2UtwbCEubEdcdSmU,1
60,Dwuzłotówki Dancing,Jarmark,Taco Hemingway,2020-08-28,284373,45,6ylgfbnMGbhHqnIIlvSlff,1
61,Bez Strachu,Lepszego Życia Diler,Paluch,2013-12-20,270459,57,0fwQlhRlZfXd71hi3zhZ3w,1
64,Ain't No Love In The Heart Of The City - 2003 Remastered Version,Best of Whitesnake,Whitesnake,2003-03-24,308240,39,13jO52N4hQGFXe4XYKnDRZ,1
66,Znaki zapytania,Dla fanów eklektyki,Quebonafide,2017-06-14,288122,35,6OJpNvSIXdLw62a6vp7rie,1
67,Napad na bankiet,Wojtek Sokół,Sokół,2019-02-15,287906,0,2yVGgYMwdNIcEdEiUzFUYc,1
71,Sultans Of Swing,Dire Straits,Dire Straits,1978-10-07,348400,81,37Tmv4NnfQeb0ZgUC4fOJj,1
72,Na pewno,Alma Mater,Shellerini,2019-10-11,186136,24,4mXpIRbYgIz03EZ1hGOBbx,1
73,I Żeby Było Normalnie,Prosto Mixtape 600V,Various Artists,2010-04-26,286275,0,0kgrbr4t69ThRLKG98lU3v,1
74,Wojna totalna,Wojna totalna,Słoń,2020-11-02,515294,36,0A6rU3K1SXKu28gdQ02mmd,1
75,Puzzle,EP,Słoń,2019-02-11,223636,42,4Xxkvj5cn8MMGYgrjYRnLr,1
78,In The Army Now,In The Army Now,Status Quo,1986,281746,66,6QLspHLCLftSGPa6vNzKuo,1
79,King of Dreams,Slaves and Masters (Bonus Track Version),Deep Purple,1990-10-05,326013,41,4HomPKDsqVz9xAtW2zyMO2,1
82,Since You Been Gone,Down To Earth,Rainbow,1979-01-01,197160,68,6xq5DxZWGgdStAxGAil0yw,1
83,W Moim Życiu,Ostatni Krzyk Osiedla,Paluch,2016-11-25,214153,45,1Z7Zp7A4TgD5uzYieBItBg,1
85,Wybory,Plansze,Jan-Rapowanie,2019-03-15,272524,57,3KeWngnWN1REq9d26ZanKj,1
87,MATCHA LATTE,MATCHA LATTE,Quebonafide,2020-12-29,177504,50,2beQhTsnVS7jsTwUxU29xo,1
89,Magenta (prod. Auer),Muzyka współczesna,Pezet,2019-09-27,200333,58,07Agqdd4SD83JRgN19OjdW,1
92,Halo Ziemia,10 / 29,Paluch,2016-03-04,252334,42,7qUTdsU0OVNuBp6Nl7L1JS,1
94,Grand Prix,Europa,Taco Hemingway,2020-09-04,184546,47,4aVbwkLJ7G4b972zlYhPJa,1
95,Luxembourg,Europa,Taco Hemingway,2020-09-04,196946,52,0wuuk1Hr5j9uDT5j4J28s3,1
96,Smoke on the Water,Machine Head,Deep Purple,1972-03-25,342173,64,5SAUIWdZ04OxYfJFDchC7S,1
101,Don't Stop Believin',Escape,Journey,1981,250986,83,4bHsxqR3GMrXTxEPLuK5ue,1
102,Living Next Door to Alice,The Original Smokie Gold,Smokie,1975,207693,53,4a8ZMNLB75047bY2I7oABt,1
104,Have You Ever Seen The Rain,Pendulum (Expanded Edition),Creedence Clearwater Revival,1970-12-07,160133,82,2LawezPeJhN4AWuSB0GtAU,1
108,Hey Jude - Remastered 2009,The Beatles 1967 - 1970 (Remastered),The Beatles,1973-04-02,431333,65,3m7V717IKZqZLW5qUIOxdD,1
110,Dancing with Tears in My Eyes - Single Version / 2009 Remaster,Dancing with Tears in My Eyes (2009 Remaster),Ultravox,1984-06-09,249493,47,6o6ZPVUPJ0GTs2gQIt2jWc,1
111,Wonderful Life,Wonderful Life,Black,1987-01-01,287933,69,0IWtEFQBwRHaMXZQtGEVcM,1
114,Balans,Czerwony Dywan,Paluch,2018-12-07,270130,51,2kJ45danEDdh4BqGPgoCbX,1
115,Fiji,Café Belga,Taco Hemingway,2018-07-13,242560,0,2CdCs9y04oDuYCF4ewNzI7,1
116,Białkoholicy,Umowa o Dzieło,Taco Hemingway,2015-06-28,280764,0,3qP7mVYYiXk9BbhH4VM9Mw,1
117,Wyjeżdżam by wrócić,Kilka numerów o czymś,Małpa,2009,201513,34,0t91UKs3Q7DU095HoyrxqU,1
119,Kryptowaluty,"Soma 0,5 mg",TACONAFIDE,2018-04-13,276173,52,5BUhxai60oAz69BWZv1qW5,1
121,Gdybyś Kiedyś,Ostatni Krzyk Osiedla,Paluch,2016-11-25,220143,51,7hcD9lM5hZl3hY4ASgReNv,1
122,Wiatr,Wosk,Taco Hemingway,2016-07-27,221718,0,7oG89V4J5UjVnihGNyRFTg,1
127,Szczerze,Wosk,Taco Hemingway,2016-07-27,201344,0,1eABKElTBuoawVGwH86ahC,1
131,LDZ Zmiennicy,Instrukcja Obsługi Świrów,O.S.T.R.,2019-02-22,210178,28,0893kLth0twvuDR3Rrn0FR,1
132,Swoje Miejsca,10 / 29,Paluch,2016-03-04,306909,35,1ctPmaSX96S7V9t2ueBMTS,1
134,California Dreamin' - Single Version,If You Can Believe Your Eyes & Ears,The Mamas & The Papas,1966-03,162373,77,4s6LhHAV5SEsOV0lC2tjvJ,1
138,Czarny chleb i czarna kawa,Piła tango,Strachy Na Lachy,2005,203546,50,5nklmUDKX1m6fTZlxD1X5w,1
139,Bo Jestes Ty,Top Love Hits,Various Artists,2017-08-04,190240,47,4iw1izjwJgdHPZdumrHvyN,1
141,Retro,Retro,Epis DYM KNF,2019-10-24,290375,28,1KL3IaltqoBITBw91GGtuE,1
142,Scenariusz dla moich sąsiadów,Z rozmyślań przy śniadaniu,Myslovitz,1997,192240,51,2AmealVVZqRStMZVNyAByN,1
143,Dlugość dźwięku samotności,Miłość w czasach popkultury,Myslovitz,1999,251053,57,5ytkHKps6RVVDFZwAqVDCB,1
144,Nocnym pociągiem aż do końca świata,Happiness Is Easy,Myslovitz,2006-05-12,266973,38,24jVhAsRXxmoN91ThJVSeI,1
145,Na Spokojnie,10 / 29,Paluch,2016-03-04,215467,35,29PtsEAg5BoUKwcpTFWZD2,1
149,"Wieża radości, wieża samotności",Europa i Azja,Sztywny Pal Azji,2001-12-31,296586,51,2nyBbMPk3yWE0cLJmJcbzH,1
150,Odchodząc,Masakra,Republika,1998,237333,42,1FLEVJaXv8vZwunzQZSHLK,1
151,Krakowski spleen,Miłość jest cudowna (1975-2015),Maanam,2015-10-16,279346,48,70X7swUO33mrChUj4JSnbW,1
154,Nie nie nie,Model 01,T.Love,2001,238080,49,4mT09JxALjAoUpMplfd8nQ,1
155,Warszawa,Pocisk miłości,T.Love,1991-10-11,252360,47,5lFmuFUZM6vF36fzjnJZSu,1
156,Biała flaga - Live,Republika (Reedycja 2011),Republika,2002-03-30,320373,34,2HfsOApfOXphR5FJnv88IX,1
157,Half Dead,Dla fanów eklektyki,Quebonafide,2017-06-14,278742,49,5TuXRIWZicQ2baTHfXID0U,1
158,Na Drodze,Trzecie Rzeczy,KęKę,2016-09-16,248533,0,4ksGFoh48GVG9STEHJ3b6v,1
159,Europa,Europa,Taco Hemingway,2020-09-04,198186,59,1MvKqm1tHKFUF88IKx7MKs,1
160,Zalatani,Zalatani,Sarius,2019-08-28,185000,43,3PVh0G09x1Dfn1dmNi3Of0,1
161,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,257800,83,0ofHAoxe9vBkTCp2UQIavz,1
162,This Is The Life,This Is The Life (eDeluxe),Amy Macdonald,2007-01-01,184413,75,2T3jgoAMbBXiMMD8pSc6QL,1
164,No Woman No Cry,Natty Dread,Bob Marley & The Wailers,1974,226240,60,3PQLYVskjUeRmRIfECsL0X,1
169,Mogliśmy Wszystko (prod. The Returners),Projekt: Jeden z życia moment,Donguralesko,2017-01-01,210080,35,7I3vZmEjqKeeCI3TfisHLQ,1
176,Johnny B.,Super Hits,The Hooters,1985,237466,58,20JrcZW9Djp70GZyFRrAfl,1
178,You Never Can Tell,Pulp Fiction (Music From The Motion Picture),Various Artists,1994-09-27,161453,46,7p6ZGUXjUe0ctAu5RNnghu,1
179,Moja Gwardia,Moja Gwardia,KęKę,2021-01-20,204360,33,1Qw87N5N9KHKZosT0wy5ug,1
180,Ukryty w Mieście Krzyk,Muzyka Klasyczna,Pezet,2002-04-05,201600,0,6gRELaYf0hDk1WyZVAW1MX,1
182,Hall of Fame (feat. will.i.am),#3,The Script,2012-09-10,202533,69,1X1DWw2pcNZ8zSub3uhlNz,1
183,The Nights,The Days / Nights,Avicii,2014-12-01,176658,0,3OwPSJu609AMzotCEyoMiO,1
184,Nadal jestem tu,Nadal jestem tu,KęKę,2021-02-17,196106,26,4hJip22FGywDqWCIV24sMS,1
185,Nie raj,Wiedza o społeczeństwie,Lao Che,2018-02-16,306093,45,1LPzBeE0fNQkklHQayI3dw,1
186,Gen hardcoru,Chronos,Epis DYM KNF,2018-09-28,261250,34,1EQhc7KuP2K1ugnw45onoT,1
187,Pozytywne wartości,ATOM,Epis DYM KNF,2020-06-05,195000,37,097kcfUHo7TzzOzAKsdyhH,1
189,You Never Can Tell,St. Louis To Liverpool,Chuck Berry,1964-11-01,161906,70,6FT83pFXKhDlXDsNJFAHWz,1
190,Rattle That Lock,Rattle That Lock (Deluxe),David Gilmour,2015-09-18,295573,49,6IYLjqSKQ4ma8FwlZd9LLI,1
191,Street of Dreams - Bonus Version,The Village Lanterne,Blackmore's Night,2006-04-04,272946,8,7qUx8EtbduXZru3ZXlQJqS,1
192,Tryb ON,Tryb ON,KęKę,2021-03-22,195840,30,2muiaDbhAy4tUCRN3eQFqA,1
193,Live Is Life - Live,Die Grössten Hits Aus 15 Jahren,Opus,1997-01-01,254600,62,7hkOgKKybgawYUcrkZD3wV,1
197,Without Me,The Eminem Show,Eminem,2002-05-26,290320,88,7lQ8MOhq6IN2w8EYcFNSUk,1
200,Nostalgia,Nostalgia,Kacper HTA,2021-04-06,232329,36,6slxPaEM1yNZsZ7clD6tIW,1
201,Selbstlos,Mama,MoTrip,2015-06-19,237868,36,5sUXgmCMa0OboFW0xmxFzH,1
202,Biały Lew,Biały Lew,Sarius,2021-04-06,182857,27,62zyHkZ3ZV3kkbUdYgVFvK,1
203,Drapacze chmur,Drapacze chmur,Intruz,2021-04-02,172023,14,7b5Q9wqI99ulpRjBHgR9bZ,1
206,Suga Suga,2016 - 2018,Népal,2019-08-23,224893,62,1kY2dTf9Tpa8QRHlAJeRYd,1
207,Bevor ich geh,Mama,MoTrip,2015-06-19,209655,31,5nStQfmz4X56SGYQZ1JQSk,1
208,Zombie,Fight Club,PRO8L3M,2021-03-30,211146,42,3kTbV66UqiZZ9xcTQuadjU,1
210,Diego Maradona,Wir bauten uns Amerika,Provinz,2020-07-17,178267,31,0rc3zXYH31NzCaJMAzi7va,1
212,Diabeł,Wyszczekany,Dedis,2020-09-18,247269,48,2iAxV6os00MV8g4Dw3Capw,1
213,THANK GOD,WELCOME TO THE JUNGLE (Deluxe),Rilès,2019-08-30,210236,61,1o6JHLSAtNsIj8AgAvDxXX,1
219,Mały świat,Kodakrom,Shellerini,2021-04-30,229333,12,0z2gwdxY0dL1ahay7p46sq,1
220,Chevy Impala,Chevy Impala,O.S.T.R.,2018-11-06,239295,28,7d50SeRrUgRMCMKFIkvS0s,1
223,SZUBIENICAPESTYCYDYBROŃ,SZUBIENICAPESTYCYDYBROŃ,Quebonafide,2020-04-01,231360,36,3GFUIOx4qdGwFxKXgfy7ap,1
226,Romcom,Alle Liebe nachträglich,Mine,2017-10-13,271740,46,2FK03KdYSIJGy4iXpKzdkS,1
229,so schön,trip,CRO,2021-04-29,223800,49,1Zz0sHugKITBf0ItiuhmkK,1
230,Porno,Fenomenet,Kjartan Lauritzen,2017-09-29,271262,30,3MCCT0fGIUtvMYqiFPEGmD,1
231,Ich ficke euch (alle),Ich ficke euch (alle),K.I.Z,2021-04-29,237240,44,6ONKZO5NqZvQpCpNdVnMhC,1
232,Sensitive Kind,5,J.J. Cale,1979-08,307906,51,0nfq0wKQfIwATbUDJZD0ln,1
234,Szklana pogoda,81-91. Największe przeboje (The Best),Lombard,2004-01-29,200866,53,3dae8Xfbu7454VD935DFvW,1
237,Kontrola Jakości,Złota Owca,Paluch,2017-11-24,247776,49,3Sy8Q6qaFefag6e8MFN5aQ,1
238,Byle gdzie,Alma Mater,Shellerini,2019-10-11,226363,17,4b9Wkh0SbjGNYCTMrDxk6n,1
239,Monochrom,Instrukcja Obsługi Świrów,O.S.T.R.,2019-02-22,165468,34,4ypX43QEL7mwPW3q5bPurP,1
240,The Writing On The Wall,The Writing On The Wall,Iron Maiden,2021-07-15,373898,35,4a66HnjRw3kBeQnIGcc8v9,1
241,Obdrapany marmur (prod. Małach),Obdrapany marmur (prod. Małach),Małach,2021-04-28,176551,39,5Ux3bT0NOAk6eXkQBzfC10,1
242,Nie Zrozumiesz,ANTIHYPE 2,Sarius,2021-06-25,159813,35,5wJDZrAiKt9DXcUHVVwn2I,1
243,Frisch,Dachfenster,01099,2021-07-02,158105,29,2nXslLLUtj9I3wyiq1aJi6,1
244,Kiss cam (podryw roku),Kiss cam (podryw roku),Mata,2021-06-21,170508,63,5hfJcAXpOVb65HtYqgtoE4,1
249,Taksowkarz,Zmiany w sąsiedztwie,Sliwa,2018-12-21,183320,43,6GQMNWbdMT5L3BUs2u89K0,1
251,Mem (prod. Auer),Mem (prod. Auer),Pezet,2021-07-15,186346,38,1iA961GuoLlH2setq3alcw,1
252,Testy,ANTIHYPE 2,Sarius,2021-06-25,186000,45,6sGmX16cnyjVOkAlR8GYQJ,1
253,Zostawić Coś Po Sobie,Syntetyczna Mafia,Paluch,2011-10-01,206869,39,7vo9Jo7RNswCh5o2wfBQ9Z,1
257,Bandyta,Bandyta,Sobel,2021-03-29,156013,51,3OcyTN8Nz3bdne5aq9mMR5,1
258,Testarossa,Testarossa,Wiatr,2020-08-11,233000,59,4yP4P2pHqtejjQ1l12J8bA,1
260,Co ja wiem?,Uśmiech,Jan-Rapowanie,2020-02-25,177600,53,0XmQabmXUU4ubnZj8b2qX4,1
261,Wild World,"Big, Bigger, Biggest! The Best Of Mr. Big",Mr. Big,1996-11-25,208506,51,4LxrmBgBLQc2oU60r6cBPW,1
262,Barman,Pół życia za mną,Sliwa,2021-05-21,189613,18,76vYozfdujmPMNuFrPO84K,1
263,Jak Makłowicz,Mieszane Uczucia,Rau Performance,2021-04-23,231133,40,3eHm9d6hynbilWyv7EGIpb,1
264,Niech mnie ktoś uszczypnie,Niech mnie ktoś uszczypnie,Rau Performance,2020-04-13,206608,41,1BaSPeyeeHMNzmcNASv3v4,1
268,Beggin',Chosen,Måneskin,2017-12-08,211560,87,3Wrjm47oTz2sjIgck11l5e,1
269,Świeczki na rzece,Świeczki na rzece,Intruz,2020-11-30,200841,33,6PPDxJmAjoDKDxJvX3qYlh,1
270,Kompas,Czarno na białym,Gibbs,2021-09-30,247578,52,0Uz1YXmTAsOAdsiFW8D8gU,1
273,Analog,Analog,Sarius,2021-10-14,172000,36,7r2fSbB03YOld4oVQzUpwV,1
274,Odpocznijmy,Podróże z i pod prąd,Happysad,2005,357133,34,4rZpuVaQAOWcVJFUDJsQwO,1
276,Nasza klasa ale to DRILL,Młody Matczak,Mata,2021-10-01,223906,59,2IwpIyyFlNYhwLW5ZeHxNe,1
278,Anja,Flagey EP,Taco Hemingway,2018-07-20,189240,44,1EtYc0dLZL0ifEWLWWwAJE,1
280,Je veux,Zaz,Zaz,2010-05-10,215933,69,734dz1YaFITwawPpM25fSt,1
281,Les passants,Zaz,Zaz,2010-05-10,213420,58,6x53YxdtkR2rGLptZCLgUx,1
282,Klękaj przed panem,Klękaj przed panem,Białas,2021-12-14,177906,38,2PHQo0t0EIN7aDgDKmkCPM,1
283,NajsHajs,NajsHajs,Sarius,2017-10-27,350174,41,2OukC4FcyVlNHsLfWgKvMV,1
285,Beyond the Sun (feat. J Live),Strange Journey Volume Three,Cunninlynguists,2014-04-01,161193,28,2CpP9fn0s3EQN4ErGEF7UX,1
286,Ballada Ekologiczna,Którędy Wychodzi Się Na Ludzi,Feno,2020-01-10,232269,48,1U1zY3nvxq5JlIANQolMx9,1
290,Nieśmiertelni,Nieśmiertelni,Sarius,2021-09-17,171356,49,7uQEiKqLg8P3i9cPC9c0pQ,1
291,Call Me Little Sunshine,IMPERA,Ghost,2022-03-11,284266,66,4xAmbn7xiy6wGOs4oaxv70,1
292,Hunter’s Moon,IMPERA,Ghost,2022-03-11,196106,60,2jfQ2g1q0w8tbjN46rLpr2,1
293,Puch,Puch,Paluch,2022-03-10,212664,41,0sQtRZ9hXH2TFbVtwkhc72,1
294,Gotham,Mantra,Kacper HTA,2020-10-16,279200,52,4aAifBZiL5ieml3ZN1gIK5,1
297,Domek w górach,Zeus. Jest super.,Zeus,2015-10-09,244360,39,7b7nYBLUJXyD9B6jU1XMtO,1
298,Będziemy dziećmi,Zeus. Jest super.,Zeus,2015-10-09,247280,47,4VpZdc76RyUGjohn4SUIjd,1
299,Do It Like A Dude,Who You Are (Platinum Edition),Jessie J,2011-01-01,195240,59,4wAJ8aQ9Ufj9ylfWESkrDL,1
300,DJ Is Your Second Name,DJ Is Your Second Name,C-BooL,2017-04-24,212976,41,4MuyeQQn5vdAj5SGyfuX9G,1
301,Interpol,WIDMO,PRO8L3M,2019-03-01,197040,54,2VVEyPFbGkDePlMDHxjqhq,1
305,Przerywamy Program feat. O.S.T.R. & Hades,Blisko Leży Obraz Końca,Sarius,2013-11-19,231828,28,4nnVBrFeB6FSlAT7eYnfzD,1
308,Nie Wiem Jak…,ANTIHYPE 2,Sarius,2021-06-25,280946,33,5G2kPOVJWA7lggyxoL1xcm,1
309,Niedopowiedzenia,Niedopowiedzenia,Czarny HIFI,2012-11-12,273667,1,2nrgOEtV9AZn6oDzbV3uMq,1
310,Sorry Dolores,BOA,Reto,2018-06-29,198613,52,0yd4OCmrcqvsAMUJGCMEFQ,1
